Player,Year,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
George Feigenbaum,1950,36,10,,,,14,57,,12,,,14,57
Arnie Ferrin,1950,340,95,,,,132,396,,63,,,132,396
Jerry Fleishman,1950,297,118,,,,102,353,,65,,,102,353
Joe Fulks*,1950,965,56,,,,336,1209,,68,,,336,1209
Bill Gabor,1950,609,108,,,,226,671,,56,,,226,671
Elmer Gainer,1950,24,7,,,,9,35,,15,,,9,35
Harry Gallatin*,1950,803,56,,,,263,664,,68,,,263,664
Vern Gardner,1950,853,119,,,,313,916,,63,,,313,916
Frank Gates,1950,287,91,,,,113,402,,64,,,113,402
Dee Gibson,1950,281,126,,,,77,245,,44,,,77,245
Hoot Gibson,1950,176,37,,,,67,195,,32,,,67,195
Chuck Gilmur,1950,418,108,,,,127,379,,68,,,127,379
Normie Glick,1950,2,0,,,,1,1,,1,,,1,1
Paul Gordon,1950,3,3,,,,0,6,,4,,,0,6
Joe Graboski,1950,203,37,,,,75,247,,57,,,75,247
Bud Grant,1950,91,19,,,,42,115,,35,,,42,115
Don Grate,1950,4,3,,,,1,6,,2,,,1,6
Alex Groza,1950,1496,162,,,,521,1090,,64,,,521,1090
Al Guokas,1950,214,95,,,,93,299,,57,,,93,299
Robert Hahn,1950,10,1,,,,4,13,,10,,,4,13
Chick Halbert,1950,328,89,,,,108,284,,68,,,108,284
Bruce Hale,1950,657,226,,,,217,614,,64,,,217,614
Dale Hamilton,1950,25,17,,,,8,33,,14,,,8,33
Alex Hannum*,1950,482,129,,,,177,488,,64,,,177,488
John Hargis,1950,643,102,,,,223,550,,60,,,223,550
Bob Harris,1950,476,129,,,,168,465,,62,,,168,465
Bob Harrison,1950,300,131,,,,125,348,,66,,,125,348
Billy Hassett,1950,272,137,,,,84,302,,60,,,84,302
Marshall Hawkins,1950,152,51,,,,55,195,,39,,,55,195
Bill Henry,1950,296,48,,,,89,278,,63,,,89,278
Bill Herman,1950,56,15,,,,25,65,,13,,,25,65
Kleggie Hermsen,1950,545,98,,,,196,615,,67,,,196,615
Sonny Hertzberg,1950,693,200,,,,275,865,,68,,,275,865
Paul Hoffman,1950,866,161,,,,312,914,,60,,,312,914
Joe Holland,1950,388,130,,,,145,453,,64,,,145,453
Red Holzman*,1950,556,200,,,,206,625,,68,,,206,625
Gene James,1950,52,20,,,,19,64,,29,,,19,64
Howie Janotta,1950,31,4,,,,9,30,,9,,,9,30
Tony Jaros,1950,240,60,,,,84,289,,61,,,84,289
Buddy Jeannette*,1950,193,93,,,,42,148,,37,,,42,148
Arnie Johnson,1950,498,141,,,,149,376,,68,,,149,376
Ralph Johnson,1950,590,171,,,,243,779,,67,,,243,779
Wah Wah,1950,751,194,,,,264,706,,60,,,264,706
Noble Jorgensen,1950,704,90,,,,218,618,,54,,,218,618
George Kaftan,1950,534,145,,,,199,535,,55,,,199,535
Leo Katkaveck,1950,236,68,,,,101,330,,54,,,101,330
Jack Kerris,1950,483,118,,,,157,481,,68,,,157,481
Bob Kinney,1950,667,100,,,,233,621,,60,,,233,621
Walt Kirk,1950,349,103,,,,97,361,,58,,,97,361
Leo Klier,1950,455,121,,,,157,516,,66,,,157,516
Duane Klueh,1950,475,91,,,,159,414,,52,,,159,414
Lee Knorek,1950,0,0,,,,0,2,,1,,,0,2
Milo Komenich,1950,634,124,,,,244,861,,64,,,244,861
Leo Kubiak,1950,710,201,,,,259,794,,62,,,259,794
Frank Kudelka,1950,433,132,,,,172,528,,65,,,172,528
Walt Lautenbach,1950,238,73,,,,100,332,,55,,,100,332
Tony Lavelli,1950,492,40,,,,162,436,,56,,,162,436
Ed Leede,1950,571,130,,,,174,507,,64,,,174,507
Andrew Levane,1950,332,156,,,,139,418,,60,,,139,418
Freddie Lewis,1950,117,25,,,,46,184,,34,,,46,184
Ron Livingstone,1950,448,141,,,,163,579,,54,,,163,579
John Logan,1950,755,240,,,,251,759,,62,,,251,759
Ray Lumpp,1950,268,90,,,,91,283,,58,,,91,283
Ed Macauley*,1950,1081,200,,,,351,882,,67,,,351,882
Johnny Macknowski,1950,439,65,,,,154,463,,59,,,154,463
John Mahnken,1950,341,108,,,,132,495,,62,,,132,495
John Mandic,1950,66,8,,,,22,75,,25,,,22,75
Slater Martin*,1950,271,148,,,,106,302,,67,,,106,302
Ariel Maughan,1950,477,101,,,,160,574,,68,,,160,574
Matt Mazza,1950,98,29,,,,33,110,,26,,,33,110
Mike McCarron,1950,9,3,,,,3,15,,8,,,3,15
Dick McGuire*,1950,584,386,,,,190,563,,68,,,190,563
Bones McKinney,1950,492,88,,,,187,631,,53,,,187,631
Mal McMullen,1950,323,87,,,,123,380,,58,,,123,380
Dick Mehen,1950,892,191,,,,347,826,,62,,,347,826
Ken Menke,1950,15,7,,,,6,17,,6,,,6,17
Stan Miasek,1950,498,75,,,,176,462,,68,,,176,462
Ed Mikan,1950,270,42,,,,89,321,,65,,,89,321
George Mikan*,1950,1865,197,,,,649,1595,,68,,,649,1595
Vern Mikkelsen*,1950,791,123,,,,288,722,,68,,,288,722
Al Miksis,1950,27,4,,,,5,21,,8,,,5,21
Murray Mitchell,1950,2,2,,,,1,3,,2,,,1,3
Leo Mogus,1950,562,99,,,,172,434,,64,,,172,434
Max Morris,1950,781,194,,,,252,694,,62,,,252,694
Joe Mullaney,1950,30,52,,,,9,70,,37,,,9,70
Jerry Nagel,1950,13,18,,,,6,28,,14,,,6,28
Jack Nichols,1950,879,142,,,,310,848,,67,,,310,848
Richie Niemiera,1950,324,116,,,,110,350,,60,,,110,350
Paul Noel,1950,249,67,,,,98,291,,65,,,98,291
Jim Nolan,1950,8,4,,,,4,21,,5,,,4,21
Johnny Norlander,1950,251,33,,,,99,293,,40,,,99,293
George Nostrand,1950,212,29,,,,78,255,,55,,,78,255
Mike Novak,1950,99,61,,,,37,149,,60,,,37,149
Dermie O'Connell,1950,269,91,,,,111,425,,61,,,111,425
Andy O'Donnell,1950,90,17,,,,38,108,,25,,,38,108
Dick O'Keefe,1950,474,74,,,,162,529,,68,,,162,529
John Oldham,1950,357,99,,,,127,426,,59,,,127,426
Gene Ollrich,1950,44,24,,,,17,72,,14,,,17,72
Johnny Orr,1950,92,20,,,,40,118,,34,,,40,118
Don Otten,1950,825,91,,,,242,648,,64,,,242,648
Mac Otten,1950,142,36,,,,51,155,,59,,,51,155
Red Owens,1950,240,73,,,,86,288,,61,,,86,288
Easy Parham,1950,362,132,,,,137,421,,66,,,137,421
Jack Parkinson,1950,3,2,,,,1,12,,4,,,1,12
Charlie Parsley,1950,22,8,,,,8,31,,9,,,8,31
Stan Patrick,1950,321,74,,,,116,294,,53,,,116,294
Johnny Payak,1950,317,86,,,,98,331,,52,,,98,331
Warren Perkins,1950,371,114,,,,128,422,,60,,,128,422
Ed Peterson,1950,445,33,,,,167,390,,62,,,167,390
Jack Phelan,1950,226,57,,,,87,268,,55,,,87,268
Andy Phillip*,1950,758,377,,,,284,814,,65,,,284,814
Jim Pollard*,1950,973,252,,,,394,1140,,66,,,394,1140
John Pritchard,1950,22,8,,,,9,29,,7,,,9,29
Les Pugh,1950,251,16,,,,68,273,,56,,,68,273
Don Putman,1950,135,90,,,,51,200,,57,,,51,200
George Ratkovicz,1950,535,124,,,,162,439,,62,,,162,439
Don Ray,1950,364,60,,,,130,403,,61,,,130,403
Chick Reiser,1950,606,174,,,,197,646,,67,,,197,646
Arnie Risen*,1950,625,92,,,,206,598,,62,,,206,598
Tex Ritter,1950,325,51,,,,100,297,,62,,,100,297
Bill Roberts,1950,182,24,,,,77,222,,67,,,77,222
Red Rocha,1950,770,155,,,,275,679,,65,,,275,679
Kenny Rollins,1950,354,131,,,,144,421,,66,,,144,421
Bob Royer,1950,197,85,,,,78,231,,42,,,78,231
Jerry Rullo,1950,7,2,,,,3,9,,4,,,3,9
Ed Sadowski,1950,872,136,,,,299,922,,69,,,299,922
Kenny Sailors,1950,987,229,,,,329,944,,57,,,329,944
Pep Saul,1950,182,28,,,,74,183,,49,,,74,183
Herm Schaefer,1950,330,203,,,,122,314,,65,,,122,314
Marv Schatzman,1950,115,38,,,,43,174,,34,,,43,174
Fred Schaus,1950,972,176,,,,351,996,,68,,,351,996
Dolph Schayes*,1950,1072,259,,,,348,903,,64,,,348,903
Milt Schoon,1950,496,84,,,,150,366,,62,,,150,366
Howie Schultz,1950,554,169,,,,179,671,,67,,,179,671
Dick Schulz,1950,209,66,,,,63,212,,50,,,63,212
Fred Scolari,1950,860,175,,,,312,910,,66,,,312,910
Wayne See,1950,320,143,,,,113,303,,61,,,113,303
Glen Selbo,1950,42,23,,,,10,51,,13,,,10,51
Rollie Seltz,1950,266,64,,,,93,309,,34,,,93,309
Jim Seminoff,1950,312,249,,,,85,283,,65,,,85,283
George Senesky,1950,611,264,,,,227,709,,68,,,227,709
Paul Seymour,1950,476,189,,,,175,524,,62,,,175,524
Carl Shaeffer,1950,150,40,,,,59,160,,43,,,59,160
Howie Shannon,1950,587,174,,,,222,646,,67,,,222,646
Charley Shipp,1950,107,46,,,,35,137,,23,,,35,137
Connie Simmons,1950,680,102,,,,241,729,,60,,,241,729
Belus Smawley,1950,834,215,,,,287,832,,61,,,287,832
Jack Smiley,1950,332,161,,,,98,364,,59,,,98,364
Chips Sobek,1950,346,95,,,,95,251,,60,,,95,251
Odie Spears,1950,712,159,,,,277,775,,68,,,277,775
Art Spector,1950,5,3,,,,2,12,,7,,,2,12
Ed Stanczak,1950,521,67,,,,159,456,,57,,,159,456
Gene Stump,1950,163,44,,,,63,213,,49,,,63,213
Mike Todorovich,1950,792,207,,,,263,852,,65,,,263,852
Jack Toomay,1950,594,94,,,,204,514,,62,,,204,514
Bob Tough,1950,113,38,,,,43,153,,29,,,43,153
Blackie Towery,1950,597,142,,,,222,678,,68,,,222,678
Dick Triptow,1950,2,1,,,,0,5,,4,,,0,5
Butch Van,1950,206,78,,,,55,167,,56,,,55,167
Gene Vance,1950,306,121,,,,110,325,,35,,,110,325
Ernie Vandeweghe,1950,421,78,,,,164,390,,42,,,164,390
Floyd Volker,1950,397,112,,,,163,527,,54,,,163,527
Whitey Von,1950,313,143,,,,120,336,,59,,,120,336
Clint Wager,1950,143,90,,,,57,203,,63,,,57,203
Danny Wagner,1950,69,18,,,,19,54,,11,,,19,54
Brady Walker,1950,508,109,,,,218,583,,68,,,218,583
Paul Walther,1950,291,56,,,,114,290,,53,,,114,290
Bobby Wanzer*,1950,791,214,,,,254,614,,67,,,254,614
Murray Wier,1950,429,107,,,,157,480,,56,,,157,480
D.C. Wilcutt,1950,77,49,,,,24,73,,37,,,24,73
Bob Wood,1950,7,1,,,,3,14,,6,,,3,14
Max Zaslofsky,1950,1115,155,,,,397,1132,,68,,,397,1132
Paul Arizin*,1951,1121,138,640.0,,,352,864,,65,,,352,864
Ed Beach,1951,22,3,25.0,,,8,38,,12,,,8,38
Leon Blevins,1951,2,1,2.0,,,1,4,,2,,,1,4
Ike Borsavage,1951,64,4,24.0,,,26,74,,24,,,26,74
Art Burris,1951,77,27,106.0,,,28,113,,33,,,28,113
Gerry Calabrese,1951,201,65,65.0,,,70,197,,46,,,70,197
Cal Christensen,1951,443,161,523.0,,,134,445,,67,,,134,445
Nat Clifton*,1951,562,162,491.0,,,211,656,,65,,,211,656
Chuck Cooper,1951,615,174,562.0,,,207,601,,66,,,207,601
Bob Cousy*,1951,1078,341,474.0,,,401,1138,,69,,,401,1138
Hank DeZonie,1951,17,9,18.0,,,6,25,,5,,,6,25
Bob Donham,1951,416,139,235.0,,,151,298,,68,,,151,298
Ray Ellefson,1951,4,0,8.0,,,0,4,,3,,,0,4
Larry Foust,1951,915,90,681.0,,,327,944,,68,,,327,944
Ed Gayda,1951,56,13,39.0,,,19,46,,15,,,19,46
Joe Hutton,1951,147,53,102.0,,,59,180,,60,,,59,180
Bob Lavoy,1951,526,76,310.0,,,221,619,,63,,,221,619
Earl Lloyd*,1951,43,11,47.0,,,16,35,,7,,,16,35
Don Lofgran,1951,237,36,157.0,,,79,270,,61,,,79,270
Norm Mager,1951,124,23,47.0,,,40,142,,24,,,40,142
Joe McNamee,1951,123,18,101.0,,,48,167,,60,,,48,167
Chuck Mrazovich,1951,85,13,40.0,,,28,80,,25,,,28,80
Ken Murray,1951,850,202,355.0,,,301,887,,66,,,301,887
Tommy O'Keefe,1951,23,10,7.0,,,10,28,,6,,,10,28
Kevin O'Shea,1951,271,100,125.0,,,87,267,,63,,,87,267
Don Rehfeldt,1951,431,68,251.0,,,164,426,,59,,,164,426
Jim Riffey,1951,150,16,61.0,,,65,185,,35,,,65,185
Alan Sawyer,1951,217,25,121.0,,,87,235,,33,,,87,235
Herb Scherer,1951,68,17,50.0,,,24,84,,20,,,24,84
Dick Schnittker,1951,295,41,153.0,,,86,209,,29,,,86,209
Bill Sharman*,1951,378,39,110.0,,,141,381,,31,,,141,381
Don Barksdale*,1952,781,137,601.0,,,272,804,2014.0,62,,,272,804
Elmer Behnke,1952,16,4,17.0,,,6,22,55.0,4,,,6,22
Stan Brown,1952,54,9,17.0,,,22,63,141.0,15,,,22,63
Ed Dahler,1952,35,5,22.0,,,14,38,112.0,14,,,14,38
Nate DeLong,1952,64,14,31.0,,,20,42,132.0,17,,,20,42
Dick Dickey,1952,127,50,81.0,,,40,136,440.0,45,,,40,136
Jake Fendley,1952,183,58,80.0,,,54,170,651.0,58,,,54,170
Jerry Fowler,1952,9,2,10.0,,,4,13,41.0,6,,,4,13
Lew Hitch,1952,217,50,243.0,,,77,215,849.0,61,,,77,215
Mel Hutchins,1952,607,190,880.0,,,231,633,2618.0,66,,,231,633
Neil Johnston*,1952,382,39,342.0,,,141,299,993.0,64,,,141,299
Jack Kiley,1952,118,62,49.0,,,44,193,477.0,47,,,44,193
George King,1952,658,244,274.0,,,235,579,1889.0,66,,,235,579
John McConathy,1952,14,8,20.0,,,4,29,106.0,11,,,4,29
Alfred McGuire*,1952,208,107,121.0,,,72,167,788.0,59,,,72,167
Dave Minor,1952,471,160,275.0,,,185,522,1558.0,57,,,185,522
Ralph O'Brien,1952,578,124,122.0,,,228,613,1577.0,64,,,228,613
Wally Osterkorn,1952,489,117,444.0,,,145,413,1721.0,66,,,145,413
Mel Payton,1952,129,45,83.0,,,54,140,471.0,45,,,54,140
John Pilch,1952,5,2,9.0,,,1,10,41.0,9,,,1,10
Ray Ragelis,1952,68,31,76.0,,,25,96,337.0,51,,,25,96
Sam Ranzino,1952,86,25,39.0,,,30,90,234.0,39,,,30,90
John Rennicke,1952,11,1,9.0,,,4,18,54.0,6,,,4,18
Don Savage,1952,36,12,24.0,,,9,43,118.0,12,,,9,43
Chuck Share,1952,248,66,331.0,,,76,236,882.0,63,,,76,236
Zeke Sinicola,1952,2,0,1.0,,,1,4,15.0,3,,,1,4
Whitey Skoog,1952,234,60,122.0,,,102,296,988.0,35,,,102,296
Jim Slaughter,1952,147,25,148.0,,,53,165,525.0,28,,,53,165
Bill Tosheff,1952,608,222,216.0,,,213,651,2055.0,65,,,213,651
Bob Wilson,1952,236,108,210.0,,,79,264,1308.0,63,,,79,264
Jim Baechtold,1953,661,154,219.0,,,242,621,1893.0,64,,,242,621
Jim Brasco,1953,77,21,24.0,,,25,94,248.0,20,,,25,94
Dick Bunt,1953,92,17,28.0,,,29,105,271.0,26,,,29,105
Gene Conley,1953,88,19,171.0,,,35,108,461.0,39,,,35,108
Pete Darcey,1953,11,2,10.0,,,3,18,90.0,12,,,3,18
Blaine Denning,1953,5,0,4.0,,,2,5,9.0,1,,,2,5
Danny Finn,1953,369,146,175.0,,,135,409,1015.0,31,,,135,409
Dick Groat,1953,309,69,86.0,,,100,272,663.0,26,,,100,272
Don Hanrahan,1953,33,11,30.0,,,11,32,121.0,18,,,11,32
Don Henriksen,1953,574,129,506.0,,,199,475,2263.0,68,,,199,475
Jim Holstein,1953,266,74,173.0,,,98,274,989.0,66,,,98,274
Bob Lochmueller,1953,232,47,162.0,,,79,245,802.0,62,,,79,245
Mo Mahoney,1953,12,1,7.0,,,4,10,34.0,6,,,4,10
Al Masino,1953,396,160,177.0,,,134,400,1773.0,72,,,134,400
Jack McCloskey,1953,6,1,3.0,,,3,9,16.0,1,,,3,9
Bucky McConnell,1953,68,41,34.0,,,27,71,297.0,14,,,27,71
George McLeod,1953,12,4,21.0,,,2,16,85.0,10,,,2,16
Jack McMahon,1953,507,186,183.0,,,176,534,1665.0,70,,,176,534
Monk Meineke,1953,725,148,466.0,,,240,630,2250.0,68,,,240,630
Eddie Miller,1953,733,115,669.0,,,273,781,2018.0,70,,,273,781
Bill Mlkvy,1953,181,62,101.0,,,75,246,608.0,31,,,75,246
Jim Mooney,1953,135,35,70.0,,,54,148,529.0,18,,,54,148
Bob Naber,1953,1,1,5.0,,,0,4,11.0,4,,,0,4
John O'Boyle,1953,21,5,10.0,,,8,26,97.0,5,,,8,26
Mike O'Neill,1953,12,3,9.0,,,4,17,50.0,4,,,4,17
Claude Overton,1953,58,15,25.0,,,19,75,182.0,15,,,19,75
Ralph Polson,1953,191,24,211.0,,,65,179,810.0,49,,,65,179
Bob Priddy,1953,36,7,36.0,,,14,38,149.0,16,,,14,38
Moe Radovich,1953,14,8,1.0,,,5,13,33.0,4,,,5,13
Sherwin Raiken,1953,9,6,8.0,,,3,21,63.0,6,,,3,21
Gene Rhodes,1953,337,91,98.0,,,109,342,1162.0,65,,,109,342
Dick Surhoff,1953,45,9,25.0,,,13,61,187.0,26,,,13,61
Mark Workman,1953,330,37,193.0,,,130,408,1030.0,65,,,130,408
Zeke Zawoluk,1953,187,31,146.0,,,55,150,622.0,41,,,55,150
Don Ackerman,1954,43,23,15.0,,,14,63,220.0,28,,,14,63
Don Asmonga,1954,5,5,1.0,,,2,15,46.0,7,,,2,15
Ernie Barrett,1954,134,55,100.0,,,60,191,641.0,59,,,60,191
Ernie Beck,1954,112,34,50.0,,,39,142,422.0,15,,,39,142
Irv Bemoras,1954,509,79,214.0,,,185,505,1496.0,69,,,185,505
Bill Bolger,1954,56,11,36.0,,,24,59,202.0,20,,,24,59
Walt Davis,1954,399,58,435.0,,,167,455,1568.0,68,,,167,455
Gene Dyker,1954,16,5,16.0,,,6,26,91.0,11,,,6,26
Ed Earle,1954,4,0,2.0,,,1,2,12.0,2,,,1,2
Ray Felix,1954,1269,82,958.0,,,410,983,2672.0,72,,,410,983
Jim Fritsche,1954,281,73,217.0,,,116,379,1221.0,68,,,116,379
Jack George,1954,675,312,386.0,,,259,736,2648.0,71,,,259,736
Bato Govedarica,1954,75,24,18.0,,,25,79,258.0,23,,,25,79
Norm Grekin,1954,0,0,0.0,,,0,0,1.0,1,,,0,0
Rollen Hans,1954,483,181,160.0,,,191,515,1556.0,67,,,191,515
Bob Houbregs*,1954,608,123,375.0,,,209,562,1970.0,70,,,209,562
Billy Kenville,1954,434,122,247.0,,,149,388,1405.0,72,,,149,388
Dick Knostman,1954,13,6,17.0,,,3,10,47.0,5,,,3,10
Clyde Lovellette*,1954,588,51,419.0,,,237,560,1255.0,72,,,237,560
Jim Luisi,1954,89,35,25.0,,,31,95,367.0,31,,,31,95
Jack Molinas,1954,370,51,228.0,,,114,292,958.0,32,,,114,292
Jim Neal,1954,312,24,257.0,,,117,369,899.0,67,,,117,369
Paul Nolen,1954,0,0,1.0,,,0,1,2.0,1,,,0,1
Bob Peterson,1954,15,3,12.0,,,3,10,60.0,8,,,3,10
James Phelan,1954,3,2,5.0,,,0,6,33.0,4,,,0,6
Connie Rea,1954,23,16,31.0,,,9,43,154.0,20,,,9,43
Frank Reddout,1954,13,0,9.0,,,5,6,18.0,7,,,5,6
Al Roges,1954,570,160,213.0,,,220,614,1937.0,67,,,220,614
Ed Smith,1954,35,10,32.0,,,14,49,127.0,12,,,14,49
Joe Smyth,1954,131,49,98.0,,,48,138,495.0,40,,,48,138
Don Sunderlage,1954,760,187,225.0,,,254,748,2232.0,68,,,254,748
Norm Swanson,1954,100,33,110.0,,,31,137,611.0,63,,,31,137
Hal Uplinger,1954,86,26,31.0,,,33,94,268.0,23,,,33,94
Isaac Walthour,1954,2,2,1.0,,,1,6,30.0,4,,,1,6
George Yardley*,1954,564,99,407.0,,,209,492,1489.0,63,,,209,492
Don Anielak,1955,3,0,2.0,,,0,4,10.0,1,,,0,4
Tom Brennan,1955,10,2,5.0,,,5,11,52.0,11,,,5,11
Bob Carney,1955,69,16,45.0,,,24,64,244.0,19,,,24,64
Fred Christ,1955,20,7,8.0,,,5,18,48.0,6,,,5,18
Bert Cook,1955,118,33,72.0,,,42,133,424.0,37,,,42,133
Larry Costello,1955,118,78,49.0,,,46,139,463.0,19,,,46,139
George Dempsey,1955,352,174,236.0,,,127,360,1387.0,48,,,127,360
Fred Diute,1955,11,4,13.0,,,2,21,72.0,7,,,2,21
Dick Farley,1955,408,111,167.0,,,136,353,1113.0,69,,,136,353
Chuck Grigsby,1955,16,7,11.0,,,7,19,45.0,7,,,7,19
Herm Hedderick,1955,4,2,4.0,,,2,9,23.0,5,,,2,9
Ed Kalafat,1955,347,75,317.0,,,118,375,1102.0,72,,,118,375
Mike Kearns,1955,1,5,3.0,,,0,5,25.0,6,,,0,5
Red Kerr,1955,754,80,474.0,,,301,718,1529.0,72,,,301,718
Dan King,1955,19,3,25.0,,,7,22,103.0,12,,,7,22
Bob Knight,1955,7,8,1.0,,,3,7,29.0,2,,,3,7
Ronnie MacGilvray,1955,8,11,9.0,,,2,12,57.0,6,,,2,12
Tom Marshall,1955,577,111,256.0,,,223,505,1337.0,72,,,223,505
Phil Martin,1955,12,6,10.0,,,5,19,47.0,7,,,5,19
Ken McBride,1955,117,14,31.0,,,48,147,249.0,12,,,48,147
Carl McNulty,1955,2,0,0.0,,,1,6,14.0,1,,,1,6
Jackie Moore,1955,110,20,105.0,,,44,115,376.0,23,,,44,115
Red Morrison,1955,312,82,451.0,,,120,284,1227.0,71,,,120,284
Boris Nachamkin,1955,20,3,19.0,,,6,20,59.0,6,,,6,20
Togo Palazzi,1955,247,30,146.0,,,101,253,504.0,53,,,101,253
Bob Pettit*,1955,1466,229,994.0,,,520,1279,2659.0,72,,,520,1279
Frank Ramsey*,1955,715,185,402.0,,,236,592,1754.0,64,,,236,592
Dick Rosenthal,1955,524,153,300.0,,,197,523,1406.0,67,,,197,523
Frank Selvy,1955,1348,245,394.0,,,452,1195,2668.0,71,,,452,1195
Gene Shue,1955,259,89,154.0,,,100,289,947.0,62,,,100,289
Art Spoelstra,1955,426,58,285.0,,,159,399,1127.0,70,,,159,399
Jim Tucker,1955,105,12,97.0,,,39,116,287.0,20,,,39,116
Jack Turner,1955,282,77,154.0,,,111,308,922.0,65,,,111,308
Bobby Watson,1955,175,79,87.0,,,72,223,702.0,63,,,72,223
Skippy Whitaker,1955,2,1,1.0,,,1,6,15.0,3,,,1,6
Jesse Arnelle,1956,147,18,170.0,,,52,164,409.0,31,,,52,164
Dick Atha,1956,93,32,42.0,,,36,88,288.0,25,,,36,88
Don Bielke,1956,14,1,9.0,,,5,9,38.0,7,,,5,9
Ed Conlin,1956,543,145,326.0,,,211,574,1423.0,66,,,211,574
Red Davis,1956,2,1,4.0,,,0,6,16.0,3,,,0,6
Corky Devlin,1956,546,138,171.0,,,200,541,1535.0,69,,,200,541
Walter Dukes,1956,465,39,443.0,,,149,370,1290.0,60,,,149,370
Ron Feiereisel,1956,30,6,6.0,,,8,28,59.0,10,,,8,28
Al Ferrari,1956,546,163,186.0,,,191,534,1611.0,68,,,191,534
Ed Fleming,1956,889,197,489.0,,,306,824,2028.0,71,,,306,824
Dick Garmaker,1956,388,104,132.0,,,138,373,870.0,68,,,138,373
Tom Gola*,1956,732,404,616.0,,,244,592,2346.0,68,,,244,592
Chris Harris,1956,101,44,44.0,,,37,149,420.0,41,,,37,149
Dick Hemric,1956,499,60,399.0,,,161,400,1329.0,71,,,161,400
Larry Hennessy,1956,196,46,49.0,,,85,247,444.0,53,,,85,247
Johnny Horan,1956,34,2,10.0,,,12,42,93.0,19,,,12,42
Jim Loscutoff,1956,591,65,622.0,,,226,628,1582.0,71,,,226,628
Chuck Mencel,1956,318,132,110.0,,,120,375,973.0,69,,,120,375
Chuck Noble,1956,686,282,261.0,,,270,767,2013.0,72,,,270,767
Med Park,1956,150,40,94.0,,,53,152,424.0,40,,,53,152
Richie Regan,1956,565,222,174.0,,,240,681,1746.0,72,,,240,681
Dick Ricketts,1956,608,206,490.0,,,235,752,1943.0,68,,,235,752
